cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
3f9fa5af-9d44-47fd-9fda-6008dd9474c9,,0,这杯新出的奶茶真的绝！,2025-11-01 09:05:22,用户201,198,0
aa0ceef2-7222-40f2-9c4c-83fe11f507c3,3f9fa5af-9d44-47fd-9fda-6008dd9474c9,1,奶味浓郁到爆,2025-11-01 09:18:30,用户C201,56,0
eac96bc6-06d3-40af-9174-b71271e3e007,,0,喜茶最近新品太多喝不过来,2025-11-01 09:41:50,用户202,142,0
c44104fe-19fa-4ed8-8003-80b71c924179,eac96bc6-06d3-40af-9174-b71271e3e007,1,每周都出新口味,2025-11-01 09:55:33,用户C202,38,0
05ecd3ef-f0d8-49c3-b2b6-a7a6f127ae0d,,0,瑞幸那杯生椰拿铁永远的神,2025-11-01 10:25:33,用户203,221,0
a3339296-654a-4bd4-a173-101c0dcbec92,05ecd3ef-f0d8-49c3-b2b6-a7a6f127ae0d,1,我一年四季都点它,2025-11-01 10:38:59,用户C203,61,0
a57f02ca-0145-4f78-88b5-52e6f777f358,,0,星巴克圣诞限定又来了,2025-11-01 11:13:19,用户204,177,0
15f2167d-9fec-46fa-81ab-9e35ad695602,a57f02ca-0145-4f78-88b5-52e6f777f358,1,每年都被拿铁骗一次哈哈,2025-11-01 11:29:03,用户C204,44,0
ff998c16-1f3d-419d-878a-758e710686e7,,0,昨天试了新出的荔枝冰茶，好喝！,2025-11-01 12:00:27,用户205,164,0
f2989f45-7860-4561-98d3-fc7ec3264afd,,0,茶百道那杯芝士乌龙太浓郁了,2025-11-01 12:42:41,用户206,138,0
3fe1b5eb-6a53-4148-a26e-35651867daa8,f2989f45-7860-4561-98d3-fc7ec3264afd,1,顶层奶盖简直犯罪,2025-11-01 12:57:26,用户C206,39,0
026a7c18-07be-4295-9d3d-adfc2f5588d6,,0,椰子水配冰块太爽了,2025-11-01 13:33:08,用户207,119,0
5115dc79-e7d9-472e-8079-484421838b6e,026a7c18-07be-4295-9d3d-adfc2f5588d6,1,夏天标配,2025-11-01 13:45:49,用户C207,33,0
2e09c295-d583-4bfd-afc8-63449110f459,,0,可乐+柠檬=永远的经典,2025-11-01 14:09:27,用户208,133,0
3f89315b-d3c7-444a-b861-6c1d54bf6358,2e09c295-d583-4bfd-afc8-63449110f459,1,再加薄荷更绝,2025-11-01 14:25:10,用户C208,36,0
f01952c9-dc11-4b83-9475-38ecd80112f6,,0,每次点咖啡都要加焦糖,2025-11-01 14:48:14,用户209,101,0
e243642d-e809-4167-a018-6e3b549ed8d4,,0,奶绿真的被低估了,2025-11-01 15:36:55,用户210,128,0
70273fda-f750-41b6-b4cc-18ceb526a001,e243642d-e809-4167-a018-6e3b549ed8d4,1,清香又解腻,2025-11-01 15:52:10,用户C210,29,0
beb3814c-6f3d-41a6-af58-90ff85cd7848,,0,喝完红牛立马清醒,2025-11-01 16:15:28,用户211,173,0
145d8f38-d49e-48b3-9834-efc142b26c4b,beb3814c-6f3d-41a6-af58-90ff85cd7848,1,学生党的续命水,2025-11-01 16:28:39,用户C211,47,0
6fd262e3-13cb-411c-a1c9-94745a03d67b,,0,酸梅汤yyds,2025-11-01 17:06:20,用户212,154,0
23e952c9-18fc-48c6-aba2-d82b4f89e013,6fd262e3-13cb-411c-a1c9-94745a03d67b,1,古法熬煮的最香,2025-11-01 17:20:51,用户C212,41,0
99148f24-06f5-4651-aba9-99a999c43d7d,,0,那个鲜橙多童年回忆,2025-11-01 18:12:59,用户213,139,0
5405d48b-6454-45d6-9479-507abda73997,99148f24-06f5-4651-aba9-99a999c43d7d,1,一喝就想起小时候,2025-11-01 18:29:16,用户C213,35,0
5e9e60f3-d2a2-4d98-80c1-12bed83348f0,,0,最近迷上苏打气泡水,2025-11-01 19:23:47,用户214,127,0
96fe6af6-9aff-4f9a-8b56-5b072014527c,,0,明明是果汁却加了香精,2025-11-01 20:17:28,用户215,94,0
d0c9d0eb-86c2-448e-80e9-def3a11b123e,96fe6af6-9aff-4f9a-8b56-5b072014527c,1,配料表真的很重要,2025-11-01 20:33:42,用户C215,25,0
a20186b8-13a2-495b-bcb3-cd38a93becb9,,0,这瓶黑咖啡太苦了,2025-11-01 21:09:19,用户216,88,0
e53a6536-4091-4b3d-a7ff-0b91501056b4,a20186b8-13a2-495b-bcb3-cd38a93becb9,1,加点牛奶就完美了,2025-11-01 21:23:55,用户C216,24,0
