cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
99b8c4c9-8699-4091-a83e-7290de2e32d3,,0,这期的镜头语言太美了,2025-11-01 09:15:44,用户101,142,0
a132a6e6-e7c6-4579-a1ce-ef56fa3de654,99b8c4c9-8699-4091-a83e-7290de2e32d3,1,构图太讲究了,2025-11-01 09:28:30,用户A101,38,0
b2f90742-1881-4ca9-b3f2-89c239c09f1b,,0,每一帧都能做壁纸,2025-11-01 09:58:11,用户102,128,0
aa7fc450-0ef8-451a-91b0-8b9de8f43c4f,,0,太会拍了，这感觉像电影,2025-11-01 10:27:53,用户103,165,0
eb3ab7da-e6db-4361-97e8-2f4752fd39c3,aa7fc450-0ef8-451a-91b0-8b9de8f43c4f,1,像宫崎骏的风格,2025-11-01 10:45:26,用户A103,49,0
933b2a36-e8fa-401b-a504-07ccce3f2d43,,0,这配乐真的神了,2025-11-01 11:16:40,用户104,97,0
c82218bd-d7f2-4a83-84e5-3c14d8f8c39f,933b2a36-e8fa-401b-a504-07ccce3f2d43,1,每次bgm都选得妙,2025-11-01 11:33:00,用户A104,28,0
716878b8-a015-4541-9462-5aa9a3840d06,,0,感觉画面像记忆一样柔和,2025-11-01 12:20:08,用户105,113,0
e86d41f6-998b-4bc8-ae27-79fd57ceeb06,716878b8-a015-4541-9462-5aa9a3840d06,1,很温柔的滤镜,2025-11-01 12:34:56,用户A105,34,0
ccb532e4-e7ea-4827-b7df-ed8ca4fda259,,0,看完心情变好了,2025-11-01 13:18:29,用户106,89,0
b06941ce-dd4f-4d71-855a-bab1134551c1,,0,这文案太细腻了,2025-11-01 14:07:51,用户107,134,0
1b2bf0cd-915f-4b4c-b736-1f1564cfaff0,b06941ce-dd4f-4d71-855a-bab1134551c1,1,“在光里也有阴影”太绝了,2025-11-01 14:25:09,用户A107,41,0
97497e2c-4890-4572-88d0-33e37d762433,,0,终于等到更新了！,2025-11-01 15:10:42,用户108,158,0
2a766892-c0b0-4bb2-9f48-4a14f5987ac7,97497e2c-4890-4572-88d0-33e37d762433,1,这期太值了,2025-11-01 15:25:33,用户A108,43,0
4d622617-0c7d-4859-bbc7-5d959d7284c4,,0,有种慢生活的感觉,2025-11-01 16:19:37,用户109,91,0
17b1625d-6d56-42b2-87c6-de1be8712984,4d622617-0c7d-4859-bbc7-5d959d7284c4,1,就喜欢这种节奏,2025-11-01 16:33:02,用户A109,27,0
a07c861e-4f13-4818-b9a7-07dbd6d8c9d3,,0,色调太有质感了,2025-11-01 17:21:44,用户110,105,0
55b7f6df-87bc-43d3-b996-a57899bfdf62,,0,喜欢这种叙事节奏,2025-11-01 18:04:33,用户111,123,0
3ab4fe86-8ae1-4094-8c5d-b38c5f3ef2cb,55b7f6df-87bc-43d3-b996-a57899bfdf62,1,很有文学感,2025-11-01 18:21:01,用户A111,33,0
2c55c98e-ff6a-4596-9ac9-dfaef6726060,,0,这期真的被治愈到了,2025-11-01 19:16:52,用户112,144,0
26d32308-b7b9-481c-a6ba-d0468add7199,2c55c98e-ff6a-4596-9ac9-dfaef6726060,1,同感，太温柔了,2025-11-01 19:33:48,用户A112,39,0
c8a7d003-32d7-480e-aaf4-f031e4014628,,0,这配音好专业,2025-11-01 20:25:18,用户113,83,0
9b2ed0ab-43b7-444b-8bff-f5b22889ef64,c8a7d003-32d7-480e-aaf4-f031e4014628,1,声音太温柔,2025-11-01 20:41:27,用户A113,23,0
1a7d05af-ed1e-43c1-b09d-5e95fe5d885d,,0,有种小时候的味道,2025-11-01 21:08:49,用户114,99,0
f5ab6bc2-4fe0-46b4-996c-337d28ff90ae,1a7d05af-ed1e-43c1-b09d-5e95fe5d885d,1,是那种旧日温暖,2025-11-01 21:23:56,用户A114,26,0
f8787207-12b0-4960-b8d3-abbf8331a2bc,,0,结尾那段太打动人,2025-11-01 22:10:35,用户115,154,0
904c7ac3-bdf5-4308-83a1-8d5f61b661c8,f8787207-12b0-4960-b8d3-abbf8331a2bc,1,“我们终会相遇”那句封神,2025-11-01 22:28:44,用户A115,52,0
40e3911f-24f9-4e6e-a92e-89f2ea8c69f5,,0,每次都让我想起青春,2025-11-02 09:08:26,用户116,120,0
282a31fc-efe1-496a-96d2-356b092d9b86,,0,博主真的太会抓情绪了,2025-11-02 10:12:38,用户117,135,0
7b280b85-b358-491a-9fc5-bce286e61371,282a31fc-efe1-496a-96d2-356b092d9b86,1,节奏感超棒,2025-11-02 10:25:59,用户A117,37,0
2bfc806c-7061-4bff-a65c-2ceb1f553710,,0,这期太短了还没看够,2025-11-02 11:07:24,用户118,92,0
b723ded3-b565-409d-b45c-ee3f9645e950,2bfc806c-7061-4bff-a65c-2ceb1f553710,1,真希望更长一点,2025-11-02 11:24:36,用户A118,29,0
8930dd41-cf8f-4865-ba6c-a86ae934cf28,,0,好想收藏下来反复看,2025-11-02 12:13:51,用户119,116,0
a5f1ca7c-5c1a-4aec-9d37-313315d00dc2,,0,背景太好看了吧,2025-11-02 13:05:42,用户120,103,0
b8774d17-280c-48b8-b8de-e66c3fe84745,a5f1ca7c-5c1a-4aec-9d37-313315d00dc2,1,像梦里的街道,2025-11-02 13:19:24,用户A120,31,0
79bf5766-5285-4d3a-9e35-7922507bc68e,,0,这段文案写进心里了,2025-11-02 14:14:28,用户121,172,0
8158deb4-fbd8-4f4d-aaf1-5f6b9252b792,79bf5766-5285-4d3a-9e35-7922507bc68e,1,一字一句都打动人,2025-11-02 14:28:03,用户A121,48,0
ba8376f8-317f-4c33-b448-5a5ae780c063,,0,感觉团队越来越专业,2025-11-02 15:17:09,用户122,128,0
b7aa2dc3-7d7e-4833-8302-090ae793ff87,ba8376f8-317f-4c33-b448-5a5ae780c063,1,光线控制得真好,2025-11-02 15:29:46,用户A122,36,0
064b89d3-6376-4325-b6fd-84d950a66b0f,,0,每次都不舍得划走,2025-11-02 16:08:57,用户123,139,0
56d8beee-2dba-4f9a-9c71-e60a3a4072f7,064b89d3-6376-4325-b6fd-84d950a66b0f,1,这说明真的喜欢,2025-11-02 16:25:00,用户A123,40,0
b9ad82ce-6e8b-47f4-84f1-4d7015183252,,0,感觉像在讲我自己的故事,2025-11-02 17:19:42,用户124,147,0
006bebdd-3f7c-4cb4-b1de-bf0a5e453139,b9ad82ce-6e8b-47f4-84f1-4d7015183252,1,同样的共鸣,2025-11-02 17:36:21,用户A124,42,0
217e0ffc-2f33-4470-8fdf-5e96829f3a7b,,0,太好看了叭！,2025-11-02 18:25:33,用户125,93,0
906e16a8-f425-4f82-900c-1fc3d359b563,217e0ffc-2f33-4470-8fdf-5e96829f3a7b,1,我也觉得！,2025-11-02 18:39:18,用户A125,27,0
8a8edd42-deed-4f06-8b2a-587c26fd7cb2,,0,这配色真的绝,2025-11-02 19:10:18,用户126,109,0
92775b70-cec8-4aee-875c-0d88d226cf1a,,0,bgm选得太好了,2025-11-02 20:22:46,用户127,98,0
51fa674b-afba-4da7-b917-6fb87f245d2c,92775b70-cec8-4aee-875c-0d88d226cf1a,1,听得人想哭,2025-11-02 20:38:50,用户A127,24,0
48cc5206-4938-4d95-8dd8-fde91e9d1c61,,0,希望博主能火,2025-11-02 21:33:09,用户128,121,0
8d43b6e9-2ad9-4954-8a19-6ec3630ba3bc,48cc5206-4938-4d95-8dd8-fde91e9d1c61,1,他已经在火的路上了,2025-11-02 21:47:18,用户A128,35,0
b0302b7d-c384-400b-bfe7-e807a5b26f27,,0,太喜欢这期的意境,2025-11-03 09:06:50,用户129,150,0
f936a166-2fd4-44fb-9c3b-fe7935d0d7a7,b0302b7d-c384-400b-bfe7-e807a5b26f27,1,美得不像话,2025-11-03 09:20:58,用户A129,46,0
9e08e8ef-22d3-48e4-b541-549156966cc3,,0,有点想哭,2025-11-03 10:12:27,用户130,113,0
79294a37-4554-4313-a346-e59415b89cdc,,0,这光影太治愈,2025-11-03 11:33:44,用户131,125,0
ed7a358e-2f77-4854-9427-4bea18d03671,79294a37-4554-4313-a346-e59415b89cdc,1,每帧都像画,2025-11-03 11:48:12,用户A131,37,0
148d8784-1b1e-45f2-b68f-ae0ffc04f7a8,,0,视频节奏太舒服了,2025-11-03 12:20:59,用户132,117,0
79c751bc-9f49-4313-87b7-9da6feabc9ec,148d8784-1b1e-45f2-b68f-ae0ffc04f7a8,1,真正的高级感,2025-11-03 12:37:21,用户A132,33,0
f121f06e-0e7e-4922-a116-845d693502e2,,0,配音演员是谁啊,2025-11-03 13:15:48,用户133,76,0
