cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
049d3700-d081-448c-b95c-26ddca50d2ec,,0,每天背50个单词真的有用,2025-11-12 15:10:22,用户421,142,0
b5d09e3a-4904-4648-9abe-63c8cc586918,049d3700-d081-448c-b95c-26ddca50d2ec,1,长期坚持才见效果,2025-11-12 15:24:50,用户K421,34,0
44f3f26a-a415-4686-b208-7c458cdda2c7,,0,拖延症又犯了，论文还没写,2025-11-12 16:05:33,用户422,126,0
ae337483-c630-44ac-997e-b83d33e44c6a,44f3f26a-a415-4686-b208-7c458cdda2c7,1,先打开文档是一种胜利,2025-11-12 16:18:59,用户K422,31,0
0c86f691-e60d-4fff-92fc-48249b484352,,0,早起学习的效率真的高,2025-11-12 17:09:40,用户423,158,0
72abea3a-b628-4628-a629-458e1b07d0b8,0c86f691-e60d-4fff-92fc-48249b484352,1,晨间专注力爆棚,2025-11-12 17:25:19,用户K423,39,0
9776acec-d30e-48d0-8138-831368b1d897,,0,自律真的能改变一个人,2025-11-12 18:11:27,用户424,171,0
0cdca263-6af8-4412-a022-81098cc89111,9776acec-d30e-48d0-8138-831368b1d897,1,一开始最难,2025-11-12 18:25:32,用户K424,42,0
3e1fa821-a7a4-4671-bd84-8c719eedad3e,,0,看完这本书我真的成长了,2025-11-12 19:10:50,用户425,134,0
a6308c5e-3dd4-42a2-a0ab-2da6d3d089f1,,0,一周不复习就全忘光,2025-11-12 20:13:26,用户426,117,0
b8320737-e72e-4120-b8f6-d5b8fd4e0758,a6308c5e-3dd4-42a2-a0ab-2da6d3d089f1,1,复盘才是关键,2025-11-12 20:29:41,用户K426,28,0
c22afe81-8c6e-49ca-b613-1eecc7b8645b,,0,坚持写学习笔记一个月了,2025-11-13 08:43:14,用户427,145,0
44816686-2c4b-4493-a824-859ceed31300,c22afe81-8c6e-49ca-b613-1eecc7b8645b,1,手写更容易记,2025-11-13 08:57:59,用户K427,33,0
3126702b-6a52-4242-afd4-51656495137b,,0,今天终于理解微积分了,2025-11-13 09:19:51,用户428,121,0
091609c8-0353-4e5c-b8b2-61e3cbd7378e,3126702b-6a52-4242-afd4-51656495137b,1,原来没那么难,2025-11-13 09:33:40,用户K428,30,0
fe186028-04a1-4c63-a365-ce8954f23e7c,,0,考研真的改变三观,2025-11-13 10:22:44,用户429,174,0
46797f48-293f-4fa6-b99a-c3a5ceed6e86,fe186028-04a1-4c63-a365-ce8954f23e7c,1,从焦虑到平静,2025-11-13 10:37:17,用户K429,45,0
ade47d2d-18df-4606-89ea-06c76fe85fda,,0,一天学不进去就别强迫,2025-11-13 11:12:19,用户430,109,0
5892b644-4747-492e-ab15-1229c524292b,ade47d2d-18df-4606-89ea-06c76fe85fda,1,适度休息是策略,2025-11-13 11:26:00,用户K430,26,0
c2d0a721-2150-45a7-889f-37488e21191a,,0,目标感太重要了,2025-11-13 12:07:32,用户431,137,0
020740a7-6c3c-436f-8fea-3395056fa535,,0,时间管理真的救命,2025-11-13 13:18:41,用户432,164,0
35e07ea4-8619-45a2-8b3c-f5cd2cd75c24,020740a7-6c3c-436f-8fea-3395056fa535,1,番茄钟好用,2025-11-13 13:33:28,用户K432,38,0
a7e91650-116e-4229-8668-e7843fa16db3,,0,英语口语真的得开口练,2025-11-13 14:10:15,用户433,118,0
5c37fb3f-4a1e-4953-8dd5-d66d64d98fd1,a7e91650-116e-4229-8668-e7843fa16db3,1,语感靠积累,2025-11-13 14:24:22,用户K433,27,0
c499bab4-ce03-4f36-ae69-06be9c30f310,,0,自学编程真的不容易,2025-11-13 15:20:30,用户434,152,0
814c17de-b14f-4f2b-9590-b4aed4392d7d,c499bab4-ce03-4f36-ae69-06be9c30f310,1,但写出第一个程序超爽,2025-11-13 15:35:59,用户K434,40,0
fd00864c-e95e-4fec-b7b3-da4235d51187,,0,学习最怕就是自我欺骗,2025-11-13 16:05:47,用户435,129,0
e25deb73-ecc8-4354-905b-864be6710dcd,fd00864c-e95e-4fec-b7b3-da4235d51187,1,打卡≠吸收,2025-11-13 16:21:03,用户K435,32,0
fedc2b7d-491b-46fa-ba44-2ce30527cf15,,0,想通了之后效率翻倍,2025-11-13 17:12:14,用户436,147,0
cb411003-8838-4226-b337-a171171dc1e8,fedc2b7d-491b-46fa-ba44-2ce30527cf15,1,放下完美主义,2025-11-13 17:28:48,用户K436,36,0
fa2cc5c9-eb5b-4a40-9ad6-6edb5bd210ce,,0,上自习室的仪式感好强,2025-11-13 18:10:53,用户437,111,0
02d19cf3-5239-4785-b3cc-bd9f038f023c,,0,拿到奖学金太激动了,2025-11-13 19:08:20,用户438,169,0
a87c61e6-4021-4cf1-be18-d65e3b1655ba,02d19cf3-5239-4785-b3cc-bd9f038f023c,1,所有努力都值得,2025-11-13 19:22:41,用户K438,43,0
60598676-d424-4d40-8880-7367e5151293,,0,备考最难的是坚持,2025-11-13 20:02:47,用户439,141,0
30793484-03ce-4e01-8d16-fe9b61f79692,60598676-d424-4d40-8880-7367e5151293,1,情绪管理太重要了,2025-11-13 20:18:30,用户K439,37,0
fcfd6d9e-4aa5-4fa0-b6af-4cab5d649a28,,0,明天也要元气满满学习！,2025-11-13 21:05:59,用户440,124,0
df097f78-6600-4d8c-b3fe-69e70a0bd8a8,fcfd6d9e-4aa5-4fa0-b6af-4cab5d649a28,1,早睡是第一步,2025-11-13 21:19:42,用户K440,29,0
