cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
d2bf0a7b-cfbb-4eec-91a6-6b66697a0a07,,0,这部电影真的封神了！,2025-11-07 15:08:30,用户341,214,0
453f9f07-48b2-489d-9671-2bb909e1c8b9,d2bf0a7b-cfbb-4eec-91a6-6b66697a0a07,1,特效和配乐都完美,2025-11-07 15:23:42,用户G341,55,0
ec3d3d59-a573-48a8-8522-516575ec1de9,,0,昨晚的颁奖礼太精彩,2025-11-07 16:02:45,用户342,173,0
d31d1d59-76bf-4da3-8a04-23b0383de01b,ec3d3d59-a573-48a8-8522-516575ec1de9,1,影帝实至名归,2025-11-07 16:17:11,用户G342,44,0
308642fc-d48c-4303-8660-1dab3749efad,,0,综艺笑点密度太高了,2025-11-07 17:05:19,用户343,129,0
d0245908-dd08-44fd-9124-e91f183d220d,308642fc-d48c-4303-8660-1dab3749efad,1,主持人太有梗,2025-11-07 17:20:08,用户G343,31,0
0ac04d65-ba19-4a65-aa49-cbc15e299f18,,0,这段舞台表演燃爆全场,2025-11-07 18:16:53,用户344,187,0
e2c1f767-2c83-46d8-bac5-38e0603bcc8f,0ac04d65-ba19-4a65-aa49-cbc15e299f18,1,现场灯光太酷了,2025-11-07 18:31:10,用户G344,46,0
8a80da82-adb8-4a9d-8b0b-fece90ebf019,,0,那部剧结局太虐了,2025-11-07 19:09:40,用户345,156,0
34eeede4-553b-4753-af15-4516979be690,8a80da82-adb8-4a9d-8b0b-fece90ebf019,1,编剧是刀子精,2025-11-07 19:24:26,用户G345,38,0
72a23df5-6182-4a2d-8c44-ddb47b30af00,,0,新出的动画太治愈,2025-11-07 20:10:51,用户346,121,0
1835940c-7c94-4cc3-aec4-d769a23e4be7,,0,歌手的live版太稳了,2025-11-07 21:15:36,用户347,134,0
0ecfbad3-eff9-4547-944a-6504f8ebd2e6,1835940c-7c94-4cc3-aec4-d769a23e4be7,1,听得起鸡皮疙瘩,2025-11-07 21:29:48,用户G347,35,0
f80c50d7-674d-43ff-9da6-d7de8a22a6d8,,0,演唱会门票又抢不到,2025-11-08 09:22:44,用户348,152,0
10fca132-1482-4059-863f-120866dab725,f80c50d7-674d-43ff-9da6-d7de8a22a6d8,1,黄牛太狠了,2025-11-08 09:36:22,用户G348,40,0
abe81ed1-45cd-4c19-8819-4c203e75d9ec,,0,那个演员的演技太自然了,2025-11-08 10:08:33,用户349,145,0
c018f2ca-0623-42f9-9d4e-a15af478a1de,abe81ed1-45cd-4c19-8819-4c203e75d9ec,1,真正的实力派,2025-11-08 10:23:09,用户G349,37,0
9828e6e7-c4e1-4cad-8902-1d53dc050d3c,,0,音乐节现场氛围拉满,2025-11-08 11:14:02,用户350,189,0
1fd9aa7a-1ea9-40c9-b351-8e69f54fae57,9828e6e7-c4e1-4cad-8902-1d53dc050d3c,1,乐队太炸了,2025-11-08 11:26:55,用户G350,49,0
0db90d55-55f4-42d9-a1e4-c43a3435fcbe,,0,短剧剧情太反转了吧,2025-11-08 12:07:29,用户351,97,0
3b5b9450-fe33-43aa-8b3c-416b816562cb,,0,爱豆舞台造型太绝,2025-11-08 13:02:46,用户352,177,0
4898b352-184b-45b0-9d14-46946100e02e,3b5b9450-fe33-43aa-8b3c-416b816562cb,1,造型师功不可没,2025-11-08 13:18:19,用户G352,42,0
8ede0a13-c262-4ae5-a95e-da933575d2f1,,0,那首主题曲单曲循环了三天,2025-11-08 14:09:33,用户353,138,0
56598066-68fc-41f7-95aa-2819f8057d1c,8ede0a13-c262-4ae5-a95e-da933575d2f1,1,旋律太洗脑,2025-11-08 14:22:51,用户G353,33,0
3e4cfb5f-1d2f-43e3-a418-86200acf4d32,,0,电影宣传海报太有设计感,2025-11-08 15:15:09,用户354,115,0
089e466c-729b-4a43-a232-765ac546809d,3e4cfb5f-1d2f-43e3-a418-86200acf4d32,1,想收藏成壁纸,2025-11-08 15:29:38,用户G354,27,0
625d6390-1026-477b-9e50-e5c172031af6,,0,男主和女主太有化学反应,2025-11-08 16:02:10,用户355,166,0
4d2dd135-a3e4-44b3-825d-c1ce4d942ab1,625d6390-1026-477b-9e50-e5c172031af6,1,CP感拉满,2025-11-08 16:17:21,用户G355,43,0
559c2684-29e5-4b83-a78a-7cc323246d6e,,0,终于等到番外篇了,2025-11-08 17:14:33,用户356,148,0
7ffcc54c-a08c-4a9e-b6b4-268e964cbb5f,559c2684-29e5-4b83-a78a-7cc323246d6e,1,制作组有心了,2025-11-08 17:28:50,用户G356,39,0
7f64bea9-f34c-459a-9ba2-b6760053bd9c,,0,电影配乐太震撼,2025-11-08 18:10:18,用户357,132,0
a36d6b29-a600-419d-8a44-1efb9cd5761a,7f64bea9-f34c-459a-9ba2-b6760053bd9c,1,一听就知道是大师级,2025-11-08 18:25:00,用户G357,34,0
7f927c9e-ad41-43f1-b65e-4e0c16bb2437,,0,明星发的vlog好可爱,2025-11-08 19:05:24,用户358,111,0
fa48b121-2bbd-4992-991c-d41bc9603cc3,7f927c9e-ad41-43f1-b65e-4e0c16bb2437,1,比综艺还真实,2025-11-08 19:19:33,用户G358,28,0
8270536a-ef92-4da6-aaf3-7a6da0b4d76a,,0,那部纪录片太走心了,2025-11-08 20:08:09,用户359,154,0
a8a17733-3ab2-42ff-bc7d-9c4907faaa71,8270536a-ef92-4da6-aaf3-7a6da0b4d76a,1,真实才最感人,2025-11-08 20:22:51,用户G359,40,0
4a226957-17ca-43bd-9994-7fec06a9d7e5,,0,新人导演真的拍出了质感,2025-11-08 21:03:48,用户360,141,0
a848d099-bde6-4d78-8e67-1a19300a89ea,4a226957-17ca-43bd-9994-7fec06a9d7e5,1,年轻一代很有想法,2025-11-08 21:18:42,用户G360,36,0
