cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
e783d090-80c0-4eb8-8af2-da4405a679a0,,0,这期的镜头语言太美了,2025-11-01 09:15:44,用户101,142,0
720684ca-839c-4ebe-965e-7b4e521f13cc,e783d090-80c0-4eb8-8af2-da4405a679a0,1,构图太讲究了,2025-11-01 09:28:30,用户A101,38,0
7e475754-8917-4e24-86c9-1de178e5aed7,,0,每一帧都能做壁纸,2025-11-01 09:58:11,用户102,128,0
5ff72538-8e29-4e42-8281-cc2670ad75cb,,0,太会拍了，这感觉像电影,2025-11-01 10:27:53,用户103,165,0
802af082-c7d7-468e-9939-cbd2049665de,5ff72538-8e29-4e42-8281-cc2670ad75cb,1,像宫崎骏的风格,2025-11-01 10:45:26,用户A103,49,0
df36d928-d214-4c88-805b-7c3697527962,,0,这配乐真的神了,2025-11-01 11:16:40,用户104,97,0
1b4c2e3d-7a40-44be-b23f-78025c679dc5,df36d928-d214-4c88-805b-7c3697527962,1,每次bgm都选得妙,2025-11-01 11:33:00,用户A104,28,0
0577799b-7263-48d5-92bd-bba22b89203d,,0,感觉画面像记忆一样柔和,2025-11-01 12:20:08,用户105,113,0
b1976a70-c0a1-41fe-927c-934747f9d429,0577799b-7263-48d5-92bd-bba22b89203d,1,很温柔的滤镜,2025-11-01 12:34:56,用户A105,34,0
4a93ceda-ae4c-4396-81a9-b2483b8e2aa2,,0,看完心情变好了,2025-11-01 13:18:29,用户106,89,0
3e1ef833-3abb-4999-9e4f-e468de93cff2,,0,这文案太细腻了,2025-11-01 14:07:51,用户107,134,0
1241e209-6c64-4b97-9b83-cf5bea50d456,3e1ef833-3abb-4999-9e4f-e468de93cff2,1,“在光里也有阴影”太绝了,2025-11-01 14:25:09,用户A107,41,0
0087588c-1d4c-40e6-a7b9-5f3cdc4a2bbf,,0,终于等到更新了！,2025-11-01 15:10:42,用户108,158,0
