cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
d89234e3-c52c-4a98-81f5-f5a4b319c160,,0,这海景也太美了吧！,2025-11-05 09:08:22,用户151,173,0
c3071940-4b05-4fd7-b67a-79ab23f8dedf,d89234e3-c52c-4a98-81f5-f5a4b319c160,1,像明信片一样的风景,2025-11-05 09:25:11,用户A151,52,0
5a3f5c9c-83ef-43bf-810c-f3aefdd45749,,0,想去这个地方躺一整天,2025-11-05 09:53:47,用户152,126,0
74ef020a-97f9-4506-8961-ca7ea17dccdc,5a3f5c9c-83ef-43bf-810c-f3aefdd45749,1,阳光太治愈了,2025-11-05 10:09:35,用户A152,33,0
f6f7df0a-30e8-4c58-9c22-613ee4265ee6,,0,博主这段航拍绝了,2025-11-05 10:21:08,用户153,139,0
b3633eb1-53d5-43cc-81d2-9a1ca50ee587,,0,这是哪个海岛？感觉像巴厘岛,2025-11-05 11:10:26,用户154,97,0
abdc13cd-41b1-4eba-92b2-49ae8e36ea06,b3633eb1-53d5-43cc-81d2-9a1ca50ee587,1,是三亚,2025-11-05 11:28:19,用户A154,24,0
1a66c664-06c9-41f1-9682-dcc3cbf7fdb0,,0,看完立刻想订机票,2025-11-05 12:16:49,用户155,111,0
84e5151e-19b0-4880-bd3f-e14017cd92df,1a66c664-06c9-41f1-9682-dcc3cbf7fdb0,1,冲一波！,2025-11-05 12:34:07,用户A155,29,0
e0914648-fa78-43db-a5d9-5e3026254e14,,0,这片海太蓝了，像梦,2025-11-05 13:22:05,用户156,151,0
c4fb525c-b26f-4b59-9f58-6f1594e3a677,e0914648-fa78-43db-a5d9-5e3026254e14,1,滤镜太高级了,2025-11-05 13:37:28,用户A156,42,0
a6ea0f36-d09b-4ce4-8cb2-61e05d93027e,,0,我也去过这里，好想再去,2025-11-05 14:18:56,用户157,118,0
a13698ad-8faf-4f31-8a80-8c4ead9ccda4,a6ea0f36-d09b-4ce4-8cb2-61e05d93027e,1,每次去都舍不得走,2025-11-05 14:32:40,用户A157,31,0
c1fe6529-44b2-4820-a973-6ac6189a2113,,0,这山路太壮观了,2025-11-05 15:05:22,用户158,102,0
9615ee3c-8c03-4693-a994-f0131e7ce106,,0,天空的颜色太梦幻,2025-11-05 15:54:19,用户159,135,0
066ab2af-0d2c-46c3-8fdb-d55289615153,9615ee3c-8c03-4693-a994-f0131e7ce106,1,晚霞太美了,2025-11-05 16:10:41,用户A159,38,0
89abd11e-fb47-44ab-9a63-f53fee437c31,,0,博主的镜头感太棒,2025-11-05 16:47:52,用户160,142,0
3bae6bbb-6d71-439f-93ce-9e70d6f4f9aa,89abd11e-fb47-44ab-9a63-f53fee437c31,1,取景太专业了,2025-11-05 17:03:12,用户A160,40,0
c4aac5d3-2f68-4cad-bdc4-4a6b15c0e40b,,0,想知道你拍的是哪个城市,2025-11-05 17:29:40,用户161,86,0
58b6b6df-bd3a-4ab4-a2f6-c32826560fa9,c4aac5d3-2f68-4cad-bdc4-4a6b15c0e40b,1,是云南大理哦,2025-11-05 17:42:22,用户A161,19,0
