cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
900ffb5d-7789-451a-bb61-916c31e02cc3,,0,水彩展里的那幅画太惊艳,2025-11-15 15:10:19,用户461,177,0
552308b8-f29d-439f-b480-0c2df1dc50b8,900ffb5d-7789-451a-bb61-916c31e02cc3,1,光影处理太细腻,2025-11-15 15:25:42,用户M461,42,0
467e2b5a-b7e8-4bf4-9741-ae597f0d107e,,0,最近迷上油画课了,2025-11-15 16:05:55,用户462,136,0
cbec6eab-7c32-4e99-8a1a-79add5d06d55,467e2b5a-b7e8-4bf4-9741-ae597f0d107e,1,画画真的治愈,2025-11-15 16:19:28,用户M462,34,0
6af0e4a4-00e8-4426-85c6-87fad5d35e18,,0,那个剧场版舞台太震撼,2025-11-15 17:08:43,用户463,153,0
a64776d3-bd11-4570-960e-05c7b02b8a79,6af0e4a4-00e8-4426-85c6-87fad5d35e18,1,灯光太有氛围了,2025-11-15 17:23:57,用户M463,37,0
c4f5c531-7681-41b9-a88e-56ab1688a38e,,0,手工陶艺太有成就感,2025-11-15 18:12:40,用户464,124,0
09f063ea-5f9a-45ff-9db5-f86a9e248938,,0,看完展览整个人被治愈,2025-11-15 19:15:18,用户465,147,0
0e2e4808-006f-4af4-85b4-689909056c90,09f063ea-5f9a-45ff-9db5-f86a9e248938,1,安静的艺术空间最放松,2025-11-15 19:29:32,用户M465,36,0
10114ee2-b988-4cb1-8f19-15653f196a6d,,0,最近的艺术市集太好逛,2025-11-15 20:09:21,用户466,118,0
b02ba936-a4d9-4c7b-9919-55d165ae99e1,10114ee2-b988-4cb1-8f19-15653f196a6d,1,手作摊位太可爱,2025-11-15 20:25:47,用户M466,28,0
173709dc-7aaf-4804-a8e8-047c05bfbb9c,,0,音乐剧比我想的更感人,2025-11-16 08:43:12,用户467,172,0
5bfab277-40e0-4708-bab5-c4127fb2d68f,173709dc-7aaf-4804-a8e8-047c05bfbb9c,1,演员唱功太强,2025-11-16 08:57:50,用户M467,44,0
2f695bb8-a585-4ac1-af47-ecc3afe954f9,,0,博物馆那件青铜器太震撼,2025-11-16 09:38:58,用户468,134,0
c9d22afe-ca04-4dcb-8fd3-53ad8a01cfda,2f695bb8-a585-4ac1-af47-ecc3afe954f9,1,文物真的会说话,2025-11-16 09:52:21,用户M468,32,0
09a5d534-1ad8-48bf-bec8-5513590a9559,,0,每次看电影都像疗愈,2025-11-16 10:22:45,用户469,125,0
caf877a4-2b7e-448b-bd26-b5ad9ede01b9,09a5d534-1ad8-48bf-bec8-5513590a9559,1,光影是最温柔的语言,2025-11-16 10:38:29,用户M469,29,0
8b31543b-dedb-43e4-83b1-d023cd1bfe51,,0,书展上的签售会太浪漫,2025-11-16 11:18:27,用户470,142,0
cf837a4f-7a20-4d19-8f2d-93c8d6a2baec,8b31543b-dedb-43e4-83b1-d023cd1bfe51,1,作者本人太温柔了,2025-11-16 11:32:40,用户M470,33,0
9bdc943e-6ac2-4521-8bc2-831e7cf8b6dc,,0,喜欢收藏明信片,2025-11-16 12:05:10,用户471,109,0
9d85fea0-b7c4-4b3b-8361-330456d9b444,,0,国风音乐真的好听,2025-11-16 13:14:33,用户472,167,0
9b4a51fd-308c-4c75-a2ba-f86078705f5d,9d85fea0-b7c4-4b3b-8361-330456d9b444,1,古筝一响心都静了,2025-11-16 13:28:46,用户M472,39,0
b2a32598-95dd-4c85-b76e-394658c6315d,,0,学习篆刻让我更专注,2025-11-16 14:09:48,用户473,119,0
51a4b3e3-cd77-44dd-b48d-53ac9e9d6317,b2a32598-95dd-4c85-b76e-394658c6315d,1,手稳心也静,2025-11-16 14:25:12,用户M473,27,0
e1479c23-7e95-4801-ba43-de0b99e44b6f,,0,看完话剧久久不能平静,2025-11-16 15:05:44,用户474,156,0
