cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
7023f00f-6f16-414c-bf97-b987af9bafa3,,0,城市地铁运行画面太震撼了,2025-11-09 08:12:15,用户201,146,0
154b40cf-e41a-482b-b1aa-866073810295,7023f00f-6f16-414c-bf97-b987af9bafa3,1,像看纪录片一样,2025-11-09 08:29:50,用户A201,40,0
5b8b0225-5f14-4fae-a52b-439957a1519c,,0,这个高铁站真的太干净了,2025-11-09 09:10:41,用户202,132,0
7ecfe523-fa1c-435d-a9c4-fb3a52eed928,5b8b0225-5f14-4fae-a52b-439957a1519c,1,国内高铁站都好现代,2025-11-09 09:25:17,用户A202,37,0
2d86878b-5109-4d1c-8f89-7a0cb32f1a67,,0,晨高峰那段拍得太真实,2025-11-09 10:06:28,用户203,118,0
dec2f45c-6035-478c-93ef-cda4b5804b9a,2d86878b-5109-4d1c-8f89-7a0cb32f1a67,1,我每天都这样挤哈哈,2025-11-09 10:20:39,用户A203,31,0
5178b3f7-efc1-4d97-bb18-83a91f93c396,,0,无人机拍的环城高速太壮观,2025-11-09 11:02:52,用户204,154,0
3454f6ab-de80-4fb7-b97d-ec8b2c7b2bdd,,0,博主拍出了城市的节奏感,2025-11-09 11:47:26,用户205,139,0
5ab97ec8-907f-4746-9990-e079dda7d2a4,3454f6ab-de80-4fb7-b97d-ec8b2c7b2bdd,1,每个红绿灯都像节拍器,2025-11-09 12:03:19,用户A205,36,0
fa9855c2-fa15-4901-9f02-f4b290922f36,,0,这段高架桥的视角太酷了,2025-11-09 12:45:13,用户206,97,0
db9e9e26-21fa-446a-8790-1b79bb1e92b8,fa9855c2-fa15-4901-9f02-f4b290922f36,1,感觉像飞在城市上空,2025-11-09 12:59:41,用户A206,25,0
b134a9eb-d488-4a00-8475-6822efd9530c,,0,公交车进站那一幕太有生活感,2025-11-09 13:50:48,用户207,111,0
fd8412a6-7f98-4a5d-a09d-f5ce7a9091d5,b134a9eb-d488-4a00-8475-6822efd9530c,1,老奶奶背影好温暖,2025-11-09 14:04:29,用户A207,28,0
1ee7f323-ade2-4793-9996-fb921d88cfaf,,0,看完突然想去坐地铁兜风,2025-11-09 14:41:10,用户208,89,0
996ee0a1-1583-46b9-b5f3-e76f2e589368,1ee7f323-ade2-4793-9996-fb921d88cfaf,1,夜班车真的很安静,2025-11-09 14:56:37,用户A208,23,0
7c0556c0-9d94-4497-ae78-75d911ed988a,,0,城市灯光映在车窗上太美,2025-11-09 15:33:44,用户209,144,0
3d6a64be-7edf-426a-b68c-15de46263b41,,0,这视频配乐太适合夜行,2025-11-09 16:18:59,用户210,101,0
dd6ea2a9-d393-4e5e-af3c-f56d2664d858,3d6a64be-7edf-426a-b68c-15de46263b41,1,那种孤独又浪漫的感觉,2025-11-09 16:32:51,用户A210,27,0
b59766e3-b01c-4a4d-aea4-45f7e9d7c79a,,0,高铁过隧道那段太稳,2025-11-09 17:25:07,用户211,127,0
faa8d4ca-d62d-41e0-aace-a9e0bbaeac51,b59766e3-b01c-4a4d-aea4-45f7e9d7c79a,1,车速一出来我都震惊了,2025-11-09 17:40:36,用户A211,34,0
036d6af6-8242-440a-bf90-8e9da0a90e91,,0,博主的镜头太有节奏,2025-11-09 18:09:21,用户212,112,0
00ef4672-c571-42bd-878b-178f13dfc27c,,0,地铁口的夕阳太浪漫了,2025-11-09 19:15:48,用户213,133,0
5e45056b-3bc9-40a0-989b-09f91a4f36b9,00ef4672-c571-42bd-878b-178f13dfc27c,1,那一帧像电影,2025-11-09 19:30:11,用户A213,38,0
3435f17c-03df-40b8-9b19-d15a4cf624af,,0,每次坐公交都像一次旅行,2025-11-09 20:20:54,用户214,94,0
2105ebe4-876e-4fee-9c3f-ecaed7e39d83,3435f17c-03df-40b8-9b19-d15a4cf624af,1,尤其是下雨天的车窗,2025-11-09 20:35:22,用户A214,21,0
c98d9c27-2e80-40ed-aa20-3b7a5d789bc5,,0,这拍的是哪个城市的地铁啊？,2025-11-09 21:09:17,用户215,85,0
4c09bc97-e602-40a5-98e5-a6462106f37b,c98d9c27-2e80-40ed-aa20-3b7a5d789bc5,1,上海14号线,2025-11-09 21:23:40,用户A215,20,0
79dab425-4c6a-470d-9618-a9e900e277b8,,0,高速航拍太震撼了,2025-11-10 08:11:25,用户216,139,0
c1947fdb-bc1f-49d3-b48f-bad3d217632e,79dab425-4c6a-470d-9618-a9e900e277b8,1,像动脉一样延伸,2025-11-10 08:25:59,用户A216,35,0
feaafe58-26d8-491c-9c15-608c7289d168,,0,博主拍的红绿灯太艺术了,2025-11-10 09:06:48,用户217,102,0
9c76d88d-116c-41b9-a452-9169de1b660e,feaafe58-26d8-491c-9c15-608c7289d168,1,那个镜头转场太顺滑,2025-11-10 09:22:04,用户A217,29,0
48f6f7f4-f430-4f99-a63e-6b6f5cae7560,,0,这配乐跟地铁广播太配了,2025-11-10 10:17:55,用户218,121,0
a01b5f2e-3186-49ce-a566-c2dd03297471,48f6f7f4-f430-4f99-a63e-6b6f5cae7560,1,节奏刚刚好,2025-11-10 10:33:12,用户A218,32,0
eb71fa7b-90e0-4dd1-8aac-e87722545406,,0,城市的轨道真像血脉,2025-11-10 11:26:43,用户219,149,0
24972e91-5050-4980-8af2-a128e4c29a07,,0,夜晚的高铁站太有未来感,2025-11-10 12:18:26,用户220,130,0
018cecf8-11d9-4d25-86e3-cb0df984c93b,24972e91-5050-4980-8af2-a128e4c29a07,1,灯光像科幻片,2025-11-10 12:34:14,用户A220,36,0
