cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
815f0316-36b2-4cac-a6f1-c8af6566d9d5,,0,这期的镜头语言太美了,2025-11-01 09:15:44,用户101,142,0
b197bc89-96be-4c64-9ef6-14130e3d36bf,815f0316-36b2-4cac-a6f1-c8af6566d9d5,1,构图太讲究了,2025-11-01 09:28:30,用户A101,38,0
b47dfc2d-0655-4e74-b832-02a128c952e7,,0,每一帧都能做壁纸,2025-11-01 09:58:11,用户102,128,0
078d8cbc-d3e5-4bf7-9ed0-3d005e603d34,,0,太会拍了，这感觉像电影,2025-11-01 10:27:53,用户103,165,0
4b4eb39b-7d54-4234-8efd-0cb1547bf3f3,078d8cbc-d3e5-4bf7-9ed0-3d005e603d34,1,像宫崎骏的风格,2025-11-01 10:45:26,用户A103,49,0
34573715-922d-4ca6-9e1e-038fb32a5025,,0,这配乐真的神了,2025-11-01 11:16:40,用户104,97,0
934652bb-3b5a-4ba3-8e05-2a5fd55e399a,34573715-922d-4ca6-9e1e-038fb32a5025,1,每次bgm都选得妙,2025-11-01 11:33:00,用户A104,28,0
d8e4bf69-3904-4a72-bd41-06a2acb151dd,,0,感觉画面像记忆一样柔和,2025-11-01 12:20:08,用户105,113,0
76c730f9-6547-475f-9f18-ae5038385ae4,d8e4bf69-3904-4a72-bd41-06a2acb151dd,1,很温柔的滤镜,2025-11-01 12:34:56,用户A105,34,0
c40c104a-a540-441d-9e23-e7a630176d1b,,0,看完心情变好了,2025-11-01 13:18:29,用户106,89,0
00d9b407-5c37-46ac-ab94-e1fb2cab18f1,,0,这文案太细腻了,2025-11-01 14:07:51,用户107,134,0
a2be9803-031e-4172-b1fa-9d3588ac6514,00d9b407-5c37-46ac-ab94-e1fb2cab18f1,1,“在光里也有阴影”太绝了,2025-11-01 14:25:09,用户A107,41,0
b1230a8b-371f-4fb1-b0d0-cc2fc51257d9,,0,终于等到更新了！,2025-11-01 15:10:42,用户108,158,0
29988dc0-3277-46f3-b2db-e6b7dd08d328,b1230a8b-371f-4fb1-b0d0-cc2fc51257d9,1,这期太值了,2025-11-01 15:25:33,用户A108,43,0
169ab431-dbf6-423f-a2e4-65dde2f54e36,,0,有种慢生活的感觉,2025-11-01 16:19:37,用户109,91,0
1eef98e2-05f9-450d-9c0a-1e945cc8eb72,169ab431-dbf6-423f-a2e4-65dde2f54e36,1,就喜欢这种节奏,2025-11-01 16:33:02,用户A109,27,0
914afb21-b98e-435d-bec3-02f08d2a80cd,,0,色调太有质感了,2025-11-01 17:21:44,用户110,105,0
b82a6342-84ed-4c8f-9fa9-2938046a36e2,,0,喜欢这种叙事节奏,2025-11-01 18:04:33,用户111,123,0
521dd1d5-ee82-44a5-a887-89c86ba5124b,b82a6342-84ed-4c8f-9fa9-2938046a36e2,1,很有文学感,2025-11-01 18:21:01,用户A111,33,0
3487f717-20e1-4584-ab50-77e62697f76e,,0,这期真的被治愈到了,2025-11-01 19:16:52,用户112,144,0
