cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
3a65e9af-1fc6-4593-89ef-6af1fe013c53,,0,新款手机摄像太清晰了,2025-11-10 14:10:26,用户381,167,0
9eb7184d-46f5-464d-a17b-ad4de186e715,3a65e9af-1fc6-4593-89ef-6af1fe013c53,1,夜景模式简直魔法,2025-11-10 14:24:55,用户I381,39,0
3ff1b52b-909d-4c3f-b416-9f87909166af,,0,AI绘画越来越厉害,2025-11-10 15:03:18,用户382,143,0
da5b2cf0-28d5-41a8-a7cb-041614feda02,3ff1b52b-909d-4c3f-b416-9f87909166af,1,人工智能真要统治世界了,2025-11-10 15:18:40,用户I382,35,0
fc9cd06b-2d2f-442b-a35e-6f473501e9ea,,0,电动车续航终于突破800km,2025-11-10 16:09:44,用户383,162,0
d3062928-46a4-47a1-b208-6fb5e08a1863,fc9cd06b-2d2f-442b-a35e-6f473501e9ea,1,再也不怕半路没电,2025-11-10 16:23:33,用户I383,41,0
df8235a1-10b5-4691-b240-f8e5bbf3abf8,,0,智能手表健康监测真方便,2025-11-10 17:08:56,用户384,121,0
fea03a59-24b0-493e-ae7e-18e81c237046,,0,VR游戏体验太沉浸了,2025-11-10 18:13:27,用户385,154,0
bf3e9856-6ce1-4f49-bb55-b744cfe0deef,fea03a59-24b0-493e-ae7e-18e81c237046,1,戴上头盔直接穿越,2025-11-10 18:26:52,用户I385,37,0
950ca910-5ddf-4e93-82f9-2fd51685a691,,0,新电脑的屏幕色彩太真实,2025-11-10 19:05:59,用户386,117,0
826e3946-0200-43b5-88fd-0ad47e577662,950ca910-5ddf-4e93-82f9-2fd51685a691,1,修图效率翻倍,2025-11-10 19:21:40,用户I386,29,0
cdcdf09e-8f24-40e0-b93f-4eae5a3a06b6,,0,AI客服比真人还耐心,2025-11-10 20:11:44,用户387,109,0
35274955-ee27-4cc0-8b3b-da74ff93179f,cdcdf09e-8f24-40e0-b93f-4eae5a3a06b6,1,就是太机械,2025-11-10 20:27:26,用户I387,27,0
473baf57-6c0b-454f-b10f-5dcc03972250,,0,无人机拍出来的风景太震撼,2025-11-10 21:02:58,用户388,176,0
6ec33847-fc67-4111-b927-d2564f617d44,473baf57-6c0b-454f-b10f-5dcc03972250,1,云层视角太浪漫,2025-11-10 21:18:22,用户I388,46,0
e97a3044-e821-4d64-b438-9e755d67d635,,0,5G下载速度太夸张了,2025-11-11 08:37:50,用户389,139,0
6e576f6b-9bc3-4923-adb4-366c36800104,e97a3044-e821-4d64-b438-9e755d67d635,1,视频几秒就下完,2025-11-11 08:52:14,用户I389,33,0
931100fb-5945-47e5-9ee5-b4aae6f9972e,,0,新AI翻译器准确度爆表,2025-11-11 09:20:13,用户390,128,0
13baa98e-01c3-40b6-abc3-9c257485b337,,0,科技让生活变简单,2025-11-11 10:06:48,用户391,134,0
7179669d-7d6f-4c49-ac3c-acce4b06a127,13baa98e-01c3-40b6-abc3-9c257485b337,1,但也更离不开它了,2025-11-11 10:22:03,用户I391,31,0
8ff43725-6866-4fe1-8fa5-62257d636611,,0,智能家居越来越普及,2025-11-11 11:09:22,用户392,147,0
c0fe58c2-bda1-47f6-9095-b357f4681070,8ff43725-6866-4fe1-8fa5-62257d636611,1,一句话开灯关窗,2025-11-11 11:23:44,用户I392,36,0
c0e8db53-6b95-4489-922f-b562a7db10d7,,0,手机AI修图太智能,2025-11-11 12:15:08,用户393,122,0
4ca924cf-38fd-4c58-b7d3-b9d4d45f5b36,c0e8db53-6b95-4489-922f-b562a7db10d7,1,自拍不用再P图了,2025-11-11 12:29:11,用户I393,30,0
9d5cde32-1be9-42b4-a7c2-661e511a42d3,,0,元宇宙会议真的上线了,2025-11-11 13:07:30,用户394,151,0
63c396a7-b9f6-4636-9bfc-2700e5db7675,9d5cde32-1be9-42b4-a7c2-661e511a42d3,1,下次开会能带耳机睡觉吗,2025-11-11 13:20:56,用户I394,42,0
0ac6abcc-f0c9-49c7-ad77-6d3d3fbf05ed,,0,AI写稿子效率太高,2025-11-11 14:12:49,用户395,140,0
668bb0f8-8b46-4e6b-a87b-6afaaeba8fd0,0ac6abcc-f0c9-49c7-ad77-6d3d3fbf05ed,1,编辑要失业了,2025-11-11 14:26:30,用户I395,35,0
f0c317f1-7f6f-4353-8e5c-65541b5be992,,0,无人驾驶真的安全吗,2025-11-11 15:10:42,用户396,111,0
a5995a48-d1d7-4935-91a9-11d2d91d18e4,,0,智能音箱成了家庭助理,2025-11-11 16:03:54,用户397,125,0
6f765ad6-ba86-4a89-b26a-7bcbc39fbe10,a5995a48-d1d7-4935-91a9-11d2d91d18e4,1,还能哄孩子睡觉,2025-11-11 16:18:09,用户I397,31,0
d428785b-0015-4c4d-a8ce-93b4afe12531,,0,新系统的交互设计太丝滑,2025-11-11 17:05:39,用户398,138,0
163f2025-6244-4f46-8979-1cfe1269cb61,d428785b-0015-4c4d-a8ce-93b4afe12531,1,动效好自然,2025-11-11 17:20:08,用户I398,34,0
56db75a1-c4cc-4278-a9b3-3770d0de498e,,0,芯片国产化真的有希望,2025-11-11 18:11:26,用户399,173,0
b7ef6ae0-301b-46f6-b3f9-8e7ae04fa2c3,56db75a1-c4cc-4278-a9b3-3770d0de498e,1,技术突破靠积累,2025-11-11 18:24:51,用户I399,44,0
c2fde263-8ff2-432c-93ff-b821887e52c7,,0,人脸识别太方便也太可怕,2025-11-11 19:08:33,用户400,152,0
801a510d-98d7-4af3-bb3b-c25aa039b330,c2fde263-8ff2-432c-93ff-b821887e52c7,1,科技的双刃剑啊,2025-11-11 19:23:59,用户I400,39,0
