cid,parent_cid,comment_type,content,comment_time,username,like_count,reply_count
8cd12f4a-222d-4a5b-a94c-c4f6a03687e7,,0,水彩展里的那幅画太惊艳,2025-11-15 15:10:19,用户461,177,0
fe92953b-45f4-45e7-98b8-116891c4531a,8cd12f4a-222d-4a5b-a94c-c4f6a03687e7,1,光影处理太细腻,2025-11-15 15:25:42,用户M461,42,0
644b30b4-c05f-4de4-882a-573f579499a6,,0,最近迷上油画课了,2025-11-15 16:05:55,用户462,136,0
14afe1ec-cf8a-4978-8931-129d2e9f2eda,644b30b4-c05f-4de4-882a-573f579499a6,1,画画真的治愈,2025-11-15 16:19:28,用户M462,34,0
27990efb-0e76-4c1e-bb63-e760e837c66e,,0,那个剧场版舞台太震撼,2025-11-15 17:08:43,用户463,153,0
1e470f78-7e3d-486d-b318-bdab0b9b9677,27990efb-0e76-4c1e-bb63-e760e837c66e,1,灯光太有氛围了,2025-11-15 17:23:57,用户M463,37,0
bdc0965b-7fdc-4017-9229-c5b5ed2fe3f6,,0,手工陶艺太有成就感,2025-11-15 18:12:40,用户464,124,0
a976a1d0-d7f6-4677-bd22-3bbacb700c9d,,0,看完展览整个人被治愈,2025-11-15 19:15:18,用户465,147,0
97b82313-5fcd-4586-b913-7d1c426d5fca,a976a1d0-d7f6-4677-bd22-3bbacb700c9d,1,安静的艺术空间最放松,2025-11-15 19:29:32,用户M465,36,0
8e150ef3-2cc0-4896-bade-0f6e4e675eac,,0,最近的艺术市集太好逛,2025-11-15 20:09:21,用户466,118,0
919de5a5-aaf7-4bb2-ae80-bec1de17caa3,8e150ef3-2cc0-4896-bade-0f6e4e675eac,1,手作摊位太可爱,2025-11-15 20:25:47,用户M466,28,0
1d775360-8284-458d-b7df-582b0f4e5a87,,0,音乐剧比我想的更感人,2025-11-16 08:43:12,用户467,172,0
9cd040be-8c27-4597-9191-28d3fe07e6b0,1d775360-8284-458d-b7df-582b0f4e5a87,1,演员唱功太强,2025-11-16 08:57:50,用户M467,44,0
3e52ef2a-4555-4fea-a906-418d91cbf23a,,0,博物馆那件青铜器太震撼,2025-11-16 09:38:58,用户468,134,0
47da85a0-b9dd-4c4b-9974-8f070e124f95,3e52ef2a-4555-4fea-a906-418d91cbf23a,1,文物真的会说话,2025-11-16 09:52:21,用户M468,32,0
67596ba9-af5b-4201-aef9-17f399fe95a7,,0,每次看电影都像疗愈,2025-11-16 10:22:45,用户469,125,0
5df8cb59-88fc-4525-8878-fa5f67faa275,67596ba9-af5b-4201-aef9-17f399fe95a7,1,光影是最温柔的语言,2025-11-16 10:38:29,用户M469,29,0
9409afe4-7224-40b3-9c4b-4b94d33eb766,,0,书展上的签售会太浪漫,2025-11-16 11:18:27,用户470,142,0
dfe1c953-3faa-406c-b3f6-b0277edc4838,9409afe4-7224-40b3-9c4b-4b94d33eb766,1,作者本人太温柔了,2025-11-16 11:32:40,用户M470,33,0
5959c04b-ccd8-439d-82f7-b83db412919b,,0,喜欢收藏明信片,2025-11-16 12:05:10,用户471,109,0
281b8323-34d3-4131-a0b5-79bb97886230,,0,国风音乐真的好听,2025-11-16 13:14:33,用户472,167,0
4f3cbe50-a0a7-4268-a8ef-a9d5db3bfd1e,281b8323-34d3-4131-a0b5-79bb97886230,1,古筝一响心都静了,2025-11-16 13:28:46,用户M472,39,0
af23df94-44d2-4789-b72a-27a499e9fee1,,0,学习篆刻让我更专注,2025-11-16 14:09:48,用户473,119,0
a1ffb419-7463-4706-9d46-ded0a6367103,af23df94-44d2-4789-b72a-27a499e9fee1,1,手稳心也静,2025-11-16 14:25:12,用户M473,27,0
5b89aded-707f-4ae6-a697-03e154f096fd,,0,看完话剧久久不能平静,2025-11-16 15:05:44,用户474,156,0
08b7c582-eef4-4012-9b3f-d4ccf8d9301f,5b89aded-707f-4ae6-a697-03e154f096fd,1,台词太有力量,2025-11-16 15:19:59,用户M474,38,0
d8894987-401b-449b-96dc-82972fcf2942,,0,画展的人比画多哈哈,2025-11-16 16:03:20,用户475,98,0
39366076-d50f-4faa-9f2d-bfc5bd25cd59,d8894987-401b-449b-96dc-82972fcf2942,1,周末人山人海,2025-11-16 16:18:14,用户M475,22,0
72c1c28c-5a14-40ac-b79b-049813e65a10,,0,摄影展色调太高级,2025-11-16 17:08:42,用户476,135,0
e5c672b1-9bc3-434d-a4d4-49928d7279eb,72c1c28c-5a14-40ac-b79b-049813e65a10,1,黑白构图太有味道,2025-11-16 17:22:37,用户M476,31,0
1ce5b64d-a2e1-4bb9-94db-52bc691bb08b,,0,传统文化越来越潮,2025-11-16 18:10:55,用户477,148,0
ad5613fd-adf3-40a9-8e03-45d9c8397830,1ce5b64d-a2e1-4bb9-94db-52bc691bb08b,1,汉服小姐姐太好看,2025-11-16 18:24:40,用户M477,35,0
69a841ab-0630-49e4-8252-c415290666cf,,0,书法展真的让人安静下来,2025-11-16 19:09:26,用户478,121,0
3425e8dc-7dfe-4c55-bebf-c7996e18b338,,0,最近沉迷拼贴艺术,2025-11-16 20:13:39,用户479,128,0
0ce076f5-9759-4f20-a622-434181635049,3425e8dc-7dfe-4c55-bebf-c7996e18b338,1,每张都像情绪碎片,2025-11-16 20:28:27,用户M479,30,0
9a97cc19-c793-4967-aa9b-b12513a1e34a,,0,看完纪录片想重新生活,2025-11-16 21:07:55,用户480,163,0
a8bdc883-82bc-48ae-9429-7ab9f2497d71,9a97cc19-c793-4967-aa9b-b12513a1e34a,1,艺术让人重新感受世界,2025-11-16 21:23:09,用户M480,42,0
